question,option_a,option_b,option_c,option_d,answer,explanation,difficulty
"Which award did Thakazhi Sivasankara Pillai receive in 1984 for his lifetime contribution to Malayalam literature?","Ezhuthachan Puraskaram","Vayalar Award","Kerala Sahitya Akademi Fellowship","Jnanpith Award",A,"Thakazhi was honoured with the Ezhuthachan Puraskaram, the highest literary award of the Kerala government, in 1984.",MEDIUM
"O.V. Vijayan's short story collection 'Gurusahayam' deals primarily with which theme?","Rural life","Urban alienation","Political satire","Mythology",C,"Vijayan's 'Gurusahayam' is known for its sharp political satire, reflecting the socio-political climate of Kerala.",MEDIUM
"Which character from Thakazhi's novel 'Chemmeen' is the lover of Karuthamma?","Pareekutti","Kunjikuttan","Palani","Sekhar",A,"In 'Chemmeen', Karuthamma's lover is Pareekutti, a Muslim fisherman, whose relationship drives the tragic plot.",MEDIUM
"Basheer's autobiographical work 'Janmadinam' is written in which form?","Poem","Diary","Play","Letter",B,"'Janmadinam' (Birthday) is a diary-style autobiographical piece where Basheer reflects on his life and thoughts.",MEDIUM
"O.V. Vijayan received the Padma Shri in which year?","1998","2003","2007","2011",B,"O.V. Vijayan was conferred the Padma Shri, India's fourth-highest civilian award, in 2003 for his contributions to literature and art.",MEDIUM
"Which Malayalam writer authored the novel ""Pathummayude Aadu""?","Vaikom Muhammad Basheer","Thakazhi Sivasankara Pillai","O.V. Vijayan","M.T. Vasudevan Nair",A,"Pathummayude Aadu is a classic work by Vaikom Muhammad Basheer, first published in 1959.",MEDIUM
"Thakazhi Sivasankara Pillai's novel ""Chemmeen"" primarily depicts the life of which community?","Plantation workers","Fishermen","Tribal hunters","Urban traders",B,"Chemmeen (1956) portrays the struggles and traditions of the fishing community along the Kerala coast.",MEDIUM
"Which work is considered O.V. Vijayan's magnum opus?","Gurusahayam","Khasakkinte Itihasam","Dharmapuranam","Pravasam",B,"Khasakkinte Itihasam (1969) is widely regarded as O.V. Vijayan's masterpiece in Malayalam literature.",MEDIUM
"In Basheer's novel ""Balyakalasakhi"", who is the male protagonist?","Majeed","Suleiman","Karim","Ahmed",A,"The story revolves around Majeed and his childhood love Suhra, making Majeed the protagonist.",MEDIUM
"Which Malayalam writer received the Jnanpith Award in 1984?","Thakazhi Sivasankara Pillai","O.V. Vijayan","Vaikom Muhammad Basheer","M.T. Vasudevan Nair",A,"Thakazhi Sivasankara Pillai was honoured with the Jnanpith Award in 1984 for his contributions to Malayalam literature.",MEDIUM
"O.V. Vijayan was conferred the Padma Bhushan in which year?","2005","2010","2015","2020",A,"The Government of India awarded O.V. Vijayan the Padma Bhushan in 2005 for his literary achievements.",MEDIUM
"For which work did Vaikom Muhammad Basheer win the Sahitya Akademi Award in 1967?","Ntuppuppakkoranendarnnu","Balyakalasakhi","Shabdangal","Anargha Nimisham",A,"Basheer received the 1967 Sahitya Akademi Award for his novel Ntuppuppakkoranendarnnu.",MEDIUM
"The novel ""Kayar"" by Thakazhi Sivasankara Pillai mainly focuses on which theme?","Caste discrimination","Land reforms and peasant life","Urban migration","Women's emancipation",B,"Kayar (1978) depicts the agrarian struggles and land reform movements in the Kuttanad region of Kerala.",MEDIUM
"Who is the central character in O.V. Vijayan's ""Khasakkinte Itihasam""?","Ravi","Appu","Kunhikuttan","Raghunath",D,"The protagonist of Khasakkinte Itihasam is Raghunath, a young man who arrives in the village of Khasak.",MEDIUM
"Which of the following Malayalam writers has NOT been awarded the Jnanpith Award?","Thakazhi Sivasankara Pillai","O.V. Vijayan","G. Sankara Kurup","M.T. Vasudevan Nair",B,"O.V. Vijayan, despite his literary acclaim, has not received the Jnanpith Award, unlike the other three listed.",MEDIUM
"Which work is the first novel of Vaikom Muhammad Basheer?","Balyakalasakhi","Pathummayude Aadu","Mathilukal","Ntuppuppakkoranendarnnu",A,"Balyakalasakhi, published in 1944, is regarded as Basheer's first novel.",MEDIUM
"Thakazhi Sivasankara Pillai's novel ""Chemmeen"" won which award?","Sahitya Akademi Award (1958)","Jnanpith Award (1965)","Kerala Sahitya Akademi Award (1957)","Vayalar Award (1960)",A,"Chemmeen received the Sahitya Akademi Award in 1958.",MEDIUM
"O.V. Vijayan's famous novel ""Khasakkinte Itihasam"" was first published in which year?","1969","1971","1973","1975",A,"Khasakkinte Itihasam appeared first in 1969 (serialized) and was published as a book the same year.",MEDIUM
"Which work earned Vaikom Muhammad Basheer the Sahitya Akademi Award?","Balyakalasakhi","Pathummayude Aadu","Mathilukal","Ntuppuppakkoranendarnnu",C,"Basheer received the Sahitya Akademi Award in 1982 for his novel Mathilukal.",MEDIUM
"Thakazhi's novel ""Kayar"" (Coir) won which award?","Jnanpith Award (1984)","Sahitya Akademi Award (1975)","Kerala Sahitya Akademi Award (1973)","Vayalar Award (1970)",A,"Kayar was honoured with the Jnanpith Award in 1984.",MEDIUM
"O.V. Vijayan won which award for his novel ""Khasakkinte Itihasam""?","Vayalar Award (1970)","Kerala Sahitya Akademi Award (1971)","Sahitya Akademi Award (1972)","Jnanpith Award (1973)",A,"He received the Vayalar Award in 1970 for Khasakkinte Itihasam.",MEDIUM
"In Thakazhi's novel ""Chemmeen"", the character Karuthamma belongs to which community?","Nair","Ezhava","Muslim","Christian",A,"Karuthamma is portrayed as a Hindu Nair woman in the novel.",MEDIUM
"Basheer's story ""Anargha Nimisham"" primarily deals with which theme?","love","freedom","jail","poverty",B,"The story depicts a fleeting moment of freedom experienced by a jail inmate.",MEDIUM
"Thakazhi Sivasankara Pillai was honoured with the Padma Shri in which year?","1965","1971","1977","1983",B,"He received the Padma Shri from the Government of India in 1971.",MEDIUM
"Basheer's work ""Ntuppuppakkoranendarnnu"" (My Grandad Had an Elephant) is a:","novel","autobiography","travelogue","children's story",A,"Ntuppuppakkoranendarnnu is a humorous novel published in 1951.",MEDIUM
"Which of the following is a famous novel by Vaikom Muhammad Basheer?","Chemmeen","Pathummayude Aadu","Nalukettu","Khasakkinte Itihasam",B,"Pathummayude Aadu is a well-known short novel/novella by Basheer, while Chemmeen is by Thakazhi, Nalukettu by M.T. Vasudevan Nair, and Khasakkinte Itihasam by O.V. Vijayan.",MEDIUM
"The character 'Kunjunni' appears in which work of Thakazhi Sivasankara Pillai?","Chemmeen","Thottiyude Makan","Randidangazhi","Kayar",C,"Kunjunni is a young boy character in Thakazhi's novel Randidangazhi (Two Measures).",MEDIUM
"O. V. Vijayan's novel 'Khasakkinte Itihasam' was first published in which year?","1969","1971","1973","1975",A,"Khasakkinte Itihasam was first serialized in Mathrubhumi weekly in 1969 and later published as a book.",MEDIUM
"Which of the following works is NOT by Thakazhi Sivasankara Pillai?","Chemmeen","Thottiyude Makan","Randidangazhi","Bhargavinilayam",D,"Bhargavinilayam is a novel by O. V. Vijayan, whereas the other three are works of Thakazhi.",MEDIUM
"The character 'Korappan' appears in which novel by O. V. Vijayan?","Khasakkinte Itihasam","Dharmapuranam","Gurusagaram","Bhargavinilayam",B,"Korappan is the protagonist of O. V. Vijayan's novel Dharmapuranam.",MEDIUM
"Which award did Thakazhi Sivasankara Pillai receive in 1984?","Jnanpith Award","Sahitya Akademi Award","Padma Bhushan","Ezhuthachan Puraskaram",A,"Thakazhi was awarded the Jnanpith Award in 1984 for his literary contributions, notably Chemmeen.",MEDIUM
"Which of the following is a short story by Vaikom Muhammad Basheer?","Bhargavinilayam","Anargha Nimisham","Mathilukal","Nalukettu",C,"Mathilukal is an autobiographical novel/short story by Basheer; Bhargavinilayam is by O.V. Vijayan, Anargha Nimisham is a novel by Basheer, and Nalukettu is by M.T. Vasudevan Nair.",MEDIUM
"O. V. Vijayan received the Padma Bhushan in which year?","2003","2005","2007","2009",B,"O. V. Vijayan was honoured with the Padma Bhushan in 2005 for his contributions to literature.",MEDIUM
"O. V. Vijayan won the Vayalar Award in 1991 for which work?","Khasakkinte Itihasam","Dharmapuranam","Gurusagaram","Bhargavinilayam",B,"The Vayalar Award for 1991 was given to O. V. Vijayan for his novel Dharmapuranam.",MEDIUM
"Who is the female protagonist in Vaikom Muhammad Basheer's novel ""Balyakalasakhi""?","Suhra","Amina","Fathima","Zainab",A,"The novel revolves around the love story of Majeed and Suhra, making Suhra the female protagonist.",MEDIUM
"Which award did Thakazhi Sivasankara Pillai's novel ""Chemmeen"" receive in 1958?","Jnanpith Award","Sahitya Akademi Award","Kerala Sahitya Akademi Award","Vayalar Award",B,"Chemmeen won the Sahitya Akademi Award for Malayalam literature in 1958.",MEDIUM
"O.V. Vijayan's novel ""Khasakkinte Itihasam"" was first published in which year?","1969","1975","1982","1990",A,"The novel appeared in serial form in 1969 and was later published as a book.",MEDIUM
"Who is the heroine of Thakazhi's novel ""Chemmeen""?","Karuthamma","Kunjumon","Pareekkutty","Cheriya",A,"Karuthamma is the central female character whose love and tragedy drive the plot of Chemmeen.",MEDIUM
"O.V. Vijayan received the Sahitya Akademi Award in 1989 for which of his works?","Gurusahayam","Khasakkinte Itihasam","Dhwani","Lila",A,"He was honored the Sahitya Akademi Award for his novel Gurusahayam in 1989.",MEDIUM
"Basheer's work ""Anargha Nimisham"" belongs to which literary genre?","Novel","Poetry","Short stories","Drama",C,"Anargha Nimisham is a collection of short stories by Vaikom Muhammad Basheer.",MEDIUM
"Thakazhi Sivasankara Pillai was conferred the Jnanpith Award in which year?","1982","1984","1986","1988",B,"He received the Jnanpith Award in 1984 for his overall contribution to Malayalam literature.",MEDIUM
"In O.V. Vijayan's ""Khasakkinte Itihasam"", what is the profession of the protagonist Ravi?","Farmer","Doctor","School teacher","Lawyer",C,"Ravi arrives in Khasak as a school teacher, which forms the backdrop of the narrative.",MEDIUM
"Basheer's ""Ntuppuppakkoranendarnnu"" is best classified as:","Poetry","Drama","Novel","Essay",C,"The work is a humorous autobiographical novel by Basheer.",MEDIUM
"Thakazhi's novel ""Kayar"" received the Sahitya Akademi Award in which year?","1965","1967","1969","1971",B,"Kayar was honored with the Sahitya Akademi Award for Malayalam in 1967.",MEDIUM
"Which is Vaikom Muhammad Basheer's first novel?","Balyakalasakhi","Ntuppuppakkoranendarnnu","Pathummayude Aadu","Mathilukal",A,"Balyakalasakhi, published in 1944, is considered Basheer's debut novel.",MEDIUM
"Which novel earned Thakazhi Sivasankara Pillai the Jnanpith Award?","Chemmeen","Thottiyude Makan","Kayar","Randidangazhi",C,"Thakazhi received the Jnanpith Award in 1984 for his novel Kayar.",MEDIUM
"Which work is regarded as O.V. Vijayan's magnum opus?","Khasakkinte Itihasam","Dharmapuranam","Gurusagaram","Madhya Vyayoga",A,"Khasakkinte Itihasam (1969) is widely considered Vijayan's masterpiece.",MEDIUM
"In Basheer's Balyakalasakhi, what is the name of the female lead?","Suhr","Kunjumol","Amina","Mariam",A,"The female protagonist in Balyakalasakhi is named Suhra.",MEDIUM
"Who is the male protagonist in Thakazhi's Chemmeen?","Karuthamma","Pareekkutty","Chakki","Kunju",B,"Pareekkutty is the male lead, while Karuthamma is the female lead in Chemmeen.",MEDIUM
"O.V. Vijayan's novel Gurusagaram primarily deals with:","The life of a fisherman","The struggles of a school teacher","The saga of a Nair joint family","The exile of a political activist",C,"Gurusagaram portrays the fortunes and travails of a Nair joint family across generations.",MEDIUM
"Which prestigious award did Vaikom Muhammad Basheer receive in 1992?","Sahitya Akademi Award","Kerala Sahitya Akademi Award","Ezhuthachan Puraskaram","Vayalar Award",C,"Basheer was honoured with the Ezhuthachan Puraskaram, Kerala's highest literary award, in 1992.",MEDIUM
"In which year did Thakazhi Sivasankara Pillai receive the Jnanpith Award?","1978","1984","1990","1995",B,"He was awarded the Jnanpith in 1984 for his novel Kayar.",MEDIUM
"For which work did O.V. Vijayan win the Kerala Sahitya Akademi Award?","Khasakkinte Itihasam","Dharmapuranam","Gurusagaram","Madhya Vyayoga",A,"Vijayan received the Kerala Sahitya Akademi Award in 1969 for Khasakkinte Itihasam.",MEDIUM
"In Basheer's Mathilukal, who is the female protagonist?","Sharifa","Amina","Fathima","Zeenat",A,"The female lead in Mathilukal is named Sharifa, with whom Basheer shares a prison‑wall romance.",MEDIUM
